Name,Gender
KHAWAJA,Male
ALLAHDIN,Male
ABU,Male
MARGARET,Female
TAJ,Male
MALIK,Male
SHALLWANI,Male
MUKHTAR,Male
ALLAH,Male
MUKHTAR,Male
PHYLLIS,Male
MUHAMMAD,Male
MOHAMMAD,Male
TRAWERANI,Male
MUHAMMAD,Male
MOHAMMAD,Male
MAHMOOD,Male
BEVERLY,Male
NOOR,Male
MUHAMMAD,Male
KHAN,Male
MUHAMMAD,Male
ABDUL,Male
MUHAMMAD,Male
HARALD,Male
FARID,Male
INAM,Male
TAHERA,Female
NAZIR,Male
SAMINA,Female
MUHAMMAD,Male
RAYNAUD,Female
ANWAR,Male
TASLIM,Female
ABDUL,Male
CHAND,Female
MOHAMMAD,Male
MUHAMMAD,Male
URSULA,Male
NILOFAR,Female
ASAD,Male
JAFAREY,Female
JAVED,Male
BASHIR,Male
SH,Male
DANIEL,Male
MOHAMMAD,Male
SYED,Male
NAEEM,Male
MOHAMMAD,Male
SABIHA,Female
SALAH,Male
CACILIA,Male
SHAMSUR,Male
NISAR,Male
ABDUL,Male
JAVAID,Male
ABDUL,Male
SYED,Male
MAUREEN,Male
MUHAMMAD,Male
SHAKILA,Female
REHMAT,Male
KHAWAJA,Male
MUHAMMAD,Male
MUHAMMAD,Male
PHILIP,Male
KHAN,Male
ABDUL,Male
SYED,Male
MUHAMMAD,Male
MUHAMMAD,Male
RIAZ,Male
ANNE,Female
HAZRATULLAH,Male
ABDUL,Male
SYED,Male
MALIK,Male
ALLAH,Male
SHEIKH,Male
ANNA,Male
PARVEEN,Female
KHAWAJA,Male
FEROZE,Male
ABDUL,Male
ASMAT,Male
MUHAMMAD,Male
S,Male
GUL,Male
GHAZALA,Female
ARESH,Male
MUHAMMAD,Male
WALI,Male
MOHAMMAD,Male
IBRAHIM,Male
HABIB,Male
REHANA,Female
MUMTAZ,Male
ZAFAR,Male
MAHMOOD,Male
SYED,Male
NORVAL,Male
ZAIN,Male
ASGHAR,Male
IRFAN,Male
